# generated by unwrap_scan from RustPython @ 3290f287f (regenerate: cargo run --release -- $RUSTPYTHON_ROOT)
# module	name	kind	reachable	pattern	file:line
_ssl	PySSLContext.get_ciphers	method	py	unwrap	crates/stdlib/src/ssl.rs:1575
_ssl	PySSLContext.get_ciphers	method	py	unwrap	crates/stdlib/src/ssl.rs:1577
_ssl	PySSLContext.get_ciphers	method	py	unwrap	crates/stdlib/src/ssl.rs:1578
_ssl	PySSLContext.get_ciphers	method	py	unwrap	crates/stdlib/src/ssl.rs:1580
_ssl	PySSLContext.get_ciphers	method	py	unwrap	crates/stdlib/src/ssl.rs:1582
_ssl	PySSLContext.get_ciphers	method	py	unwrap	crates/stdlib/src/ssl.rs:1584
_ssl	PySSLSocket.do_handshake	method	py	expect	crates/stdlib/src/ssl.rs:3517
_ssl	PySslContext._set_alpn_protocols	method	py	expect	crates/stdlib/src/openssl.rs:1381
_ssl	PySslContext.verify_mode	getset	py	unreachable	crates/stdlib/src/openssl.rs:1170
_ssl	PySslSocket.do_handshake	method	py	expect	crates/stdlib/src/openssl.rs:2982
_ssl	PySslSocket.do_handshake	method	py	expect	crates/stdlib/src/openssl.rs:2996
_ssl	PySslSocket.read	method	py	expect	crates/stdlib/src/openssl.rs:3227
_ssl	PySslSocket.read	method	py	expect	crates/stdlib/src/openssl.rs:3241
_ssl	PySslSocket.shutdown	method	py	expect	crates/stdlib/src/openssl.rs:2841
_ssl	PySslSocket.write	method	py	expect	crates/stdlib/src/openssl.rs:3049
_ssl	PySslSocket.write	method	py	expect	crates/stdlib/src/openssl.rs:3070
_symtable	PySymbolTable.symbols	getset	py	unwrap	crates/vm/src/stdlib/_symtable.rs:189
_sysconfig	config_vars	fn	py	unwrap	crates/vm/src/stdlib/_sysconfig.rs:15
_sysconfig	config_vars	fn	py	unwrap	crates/vm/src/stdlib/_sysconfig.rs:16
_sysconfig	config_vars	fn	py	unwrap	crates/vm/src/stdlib/_sysconfig.rs:19
_sysconfig	config_vars	fn	py	unwrap	crates/vm/src/stdlib/_sysconfig.rs:20
_thread	start_joinable_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:1686
_thread	start_joinable_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:1697
_thread	start_joinable_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:1702
_thread	start_joinable_thread	fn	py	unwrap	crates/vm/src/stdlib/_thread.rs:1794
